2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  10,5; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 316.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   9,5; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 315.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   WEST; Position:   8,5; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 314.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,6; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 313.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:   8,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 312.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 311.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 310.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 309.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 308.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 307.0; Tile: ROAD
2019-05-29 13:58:29 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 306.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,7; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 305.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  15,8; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 304.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,8; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 303.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  16,9; Parcels:      1; Health:  30.0; Health Usage:  45.0; Fuel: 302.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 301.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  17,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 301.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 300.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 299.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 298.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position:  14,9; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 298.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 14,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 297.0; Tile: ROAD
